,title,release_year,rating
0,The Shawshank Redemption,1975,9.2
1,The Godfather,1994,9.2
2,The Dark Knight,1972,9.0
3,The Godfather Part II,2008,9.0
4,12 Angry Men,1974,9.0
5,Schindler's List,1957,8.9
6,The Lord of the Rings: The Return of the King,1993,8.9
7,Pulp Fiction,2003,8.8
8,The Lord of the Rings: The Fellowship of the Ring,1994,8.8
9,"Il buono, il brutto, il cattivo",2001,8.8
10,Forrest Gump,1966,8.8
11,Fight Club,1994,8.7
12,The Lord of the Rings: The Two Towers,1999,8.7
13,Inception,2002,8.7
14,The Empire Strikes Back,2010,8.7
15,The Matrix,1980,8.7
16,GoodFellas,1999,8.7
17,One Flew Over the Cuckoo's Nest,1990,8.6
18,Se7en,1975,8.6
19,It's a Wonderful Life,1995,8.6
20,Shichinin no samurai,1946,8.6
21,The Silence of the Lambs,1954,8.6
22,Saving Private Ryan,1991,8.6
23,Cidade de Deus,1998,8.6
24,Interstellar,2002,8.6
25,La vita è bella,2014,8.6
26,The Green Mile,1997,8.6
27,Star Wars,1999,8.5
28,Terminator 2: Judgment Day,1977,8.5
29,Back to the Future,1991,8.5
30,Sen to Chihiro no kamikakushi,1985,8.5
31,The Pianist,2001,8.5
32,Psycho,2002,8.5
33,Gisaengchung,1960,8.5
34,Léon,2019,8.5
35,The Lion King,1994,8.5
36,Gladiator,1994,8.5
37,American History X,2000,8.5
38,The Departed,1998,8.5
39,Whiplash,2006,8.5
40,The Prestige,2014,8.5
41,The Usual Suspects,2006,8.5
42,Casablanca,1995,8.5
43,Hotaru no haka,1942,8.5
44,Seppuku,1988,8.5
45,The Intouchables,1962,8.5
46,Modern Times,2011,8.4
47,Once Upon a Time in the West,1936,8.4
48,Nuovo Cinema Paradiso,1968,8.4
49,Rear Window,1988,8.4
50,Alien,1954,8.4
51,City Lights,1979,8.4
52,Apocalypse Now,1931,8.4
53,Memento,1979,8.4
54,Django Unchained,2000,8.4
55,Raiders of the Lost Ark,2012,8.4
56,WALL·E,1981,8.4
57,The Lives of Others,2008,8.4
58,Sunset Blvd.,2006,8.4
59,Paths of Glory,1950,8.4
60,The Shining,1957,8.4
61,The Great Dictator,1980,8.4
62,Avengers: Infinity War,1940,8.4
63,Witness for the Prosecution,2018,8.4
64,Aliens,1957,8.3
65,Spider-Man: Into the Spider-Verse,1986,8.3
66,American Beauty,2018,8.3
67,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1999,8.3
68,The Dark Knight Rises,1964,8.3
69,Inglourious Basterds,2012,8.3
70,Oldeuboi,2009,8.3
71,Amadeus,2003,8.3
72,Coco,1984,8.3
73,Toy Story,2017,8.3
74,Braveheart,1995,8.3
75,Joker,1995,8.3
76,Das Boot,2019,8.3
77,Avengers: Endgame,1981,8.3
78,Mononoke-hime,2019,8.3
79,Good Will Hunting,1997,8.3
80,Once Upon a Time in America,1997,8.3
81,Kimi no na wa.,1984,8.3
82,Singin' in the Rain,2016,8.3
83,3 Idiots,1952,8.3
84,Requiem for a Dream,2009,8.3
85,Tengoku to jigoku,2000,8.3
86,Toy Story 3,1963,8.3
87,Capharnaüm,2010,8.3
88,Star Wars: Episode VI - Return of the Jedi,2018,8.3
89,2001: A Space Odyssey,1983,8.3
90,Eternal Sunshine of the Spotless Mind,1968,8.3
91,Idi i smotri,2004,8.3
92,Reservoir Dogs,1985,8.3
93,Jagten,1992,8.3
94,Lawrence of Arabia,2012,8.2
95,Citizen Kane,1962,8.2
96,M - Eine Stadt sucht einen Mörder,1941,8.2
97,Ikiru,1931,8.2
98,North by Northwest,1952,8.2
99,The Apartment,1959,8.2
100,Vertigo,1960,8.2
101,Le fabuleux destin d'Amélie Poulain,1958,8.2
102,Double Indemnity,2001,8.2
103,A Clockwork Orange,1944,8.2
104,Full Metal Jacket,1971,8.2
105,Scarface,1987,8.2
106,Hamilton,1983,8.2
107,Incendies,2020,8.2
108,Heat,2010,8.2
109,Up,1995,8.2
110,To Kill a Mockingbird,2009,8.2
111,The Sting,1962,8.2
112,Jodaeiye Nader az Simin,1973,8.2
113,Metropolis,2011,8.2
114,L.A. Confidential,1927,8.2
115,Die Hard,1997,8.2
116,Taxi Driver,1988,8.2
117,Indiana Jones and the Last Crusade,1976,8.2
118,Snatch,1989,8.2
119,Ladri di biciclette,2000,8.2
120,Taare Zameen Par,1948,8.2
121,1917,2007,8.2
122,Top Gun: Maverick,2019,8.2
123,Der Untergang,2022,8.2
124,Dangal,2004,8.2
125,Per qualche dollaro in più,2016,8.2
126,Batman Begins,1965,8.2
127,The Kid,2005,8.2
128,Some Like It Hot,1921,8.2
129,The Father,1959,8.2
130,All About Eve,2020,8.2
131,The Wolf of Wall Street,1950,8.2
132,Green Book,2013,8.2
133,Judgment at Nuremberg,2018,8.2
134,Ran,1961,8.2
135,Casino,1985,8.2
136,The Truman Show,1995,8.2
137,There Will Be Blood,1998,8.2
138,Pan's Labyrinth,2007,8.2
139,Unforgiven,2006,8.2
140,The Sixth Sense,1992,8.2
141,Shutter Island,1999,8.2
142,A Beautiful Mind,2010,8.2
143,Jurassic Park,2001,8.2
144,Yôjinbô,1993,8.1
145,The Treasure of the Sierra Madre,1961,8.1
146,Monty Python and the Holy Grail,1948,8.1
147,No Country for Old Men,1975,8.1
148,Kill Bill: Vol. 1,2007,8.1
149,The Great Escape,2003,8.1
150,Rashômon,1963,8.1
151,The Thing,1950,8.1
152,Finding Nemo,1982,8.1
153,Spider-Man: No Way Home,2003,8.1
154,The Elephant Man,2021,8.1
155,Chinatown,1980,8.1
156,V for Vendetta,1974,8.1
157,Raging Bull,2005,8.1
158,Gone with the Wind,1980,8.1
159,Dial M for Murder,1939,8.1
160,"Lock, Stock and Two Smoking Barrels",1954,8.1
161,Inside Out,1998,8.1
162,Hauru no ugoku shiro,2015,8.1
163,El secreto de sus ojos,2004,8.1
164,"Three Billboards Outside Ebbing, Missouri",2009,8.1
165,Trainspotting,2017,8.1
166,The Bridge on the River Kwai,1996,8.1
167,Prisoners,1957,8.1
168,Warrior,2013,8.1
169,Fargo,2011,8.1
170,Gran Torino,1996,8.1
171,Catch Me If You Can,2008,8.1
172,Tonari no Totoro,2002,8.1
173,Million Dollar Baby,1988,8.1
174,Bacheha-Ye aseman,2004,8.1
175,Blade Runner,1997,8.1
176,The Gold Rush,1982,8.1
177,Klaus,1925,8.1
178,Harry Potter and the Deathly Hallows: Part 2,2019,8.1
179,Before Sunrise,2011,8.1
180,12 Years a Slave,1995,8.1
181,Ben-Hur,2013,8.1
182,The Grand Budapest Hotel,1959,8.1
183,On the Waterfront,2014,8.1
184,Gone Girl,1954,8.1
185,Smultronstället,2014,8.1
186,John Wick: Chapter 4,1957,8.1
187,The General,2023,8.1
188,Barry Lyndon,1926,8.1
189,In the Name of the Father,1975,8.1
190,The Deer Hunter,1993,8.1
191,Hacksaw Ridge,1978,8.1
192,The Third Man,2016,8.1
193,Le salaire de la peur,1949,8.1
194,Salinui chueok,1953,8.1
195,Relatos salvajes,2003,8.1
196,Sherlock Jr.,2014,8.1
197,Mr. Smith Goes to Washington,1924,8.1
198,Mad Max: Fury Road,1939,8.1
199,Mary and Max.,2015,8.1
200,How to Train Your Dragon,2009,8.1
201,Det sjunde inseglet,2010,8.1
202,"Monsters, Inc.",1957,8.1
203,Dead Poets Society,2001,8.1
204,Jaws,1989,8.1
205,Room,1975,8.1
206,The Big Lebowski,2015,8.1
207,Tôkyô monogatari,1998,8.1
208,La passion de Jeanne d'Arc,1953,8.1
209,Ford v Ferrari,1928,8.1
210,Hotel Rwanda,2019,8.0
211,Rocky,2004,8.0
212,Ratatouille,1976,8.0
213,Platoon,2007,8.0
214,Spotlight,1986,8.0
215,Logan,2015,8.0
216,The Terminator,2017,8.0
217,Stand by Me,1984,8.0
218,Rush,1986,8.0
219,Network,2013,8.0
220,Before Sunset,1976,8.0
221,Into the Wild,2004,8.0
222,The Wizard of Oz,2007,8.0
223,The Best Years of Our Lives,1939,8.0
224,The Exorcist,1946,8.0
225,Groundhog Day,1973,8.0
226,The Incredibles,1993,8.0
227,To Be or Not to Be,2004,8.0
228,La haine,1942,8.0
229,Pirates of the Caribbean: The Curse of the Black Pearl,1995,8.0
230,Hachi: A Dog's Tale,2003,8.0
231,La battaglia di Algeri,2009,8.0
232,Pather Panchali,1966,8.0
233,The Grapes of Wrath,1955,8.0
234,Babam ve Oglum,1940,8.0
235,Amores perros,2005,8.0
236,Jai Bhim,2000,8.0
237,Rebecca,2021,8.0
238,Ah-ga-ssi,1940,8.0
239,Cool Hand Luke,2016,8.0
240,The Sound of Music,1967,8.0
241,It Happened One Night,1965,8.0
242,Les quatre cents coups,1934,8.0
243,Persona,1959,8.0
244,Life of Brian,1966,8.0
245,The Iron Giant,1979,8.0
246,The Help,1999,8.0
247,Aladdin,2011,8.0
248,Dances with Wolves,1992,8.0
249,Dersu Uzala,1990,8.0
